id,latitude,longitude,price,,,,,,,,,
5573458,1.44061,103.82386,212,,,,,,,,,
5582645,1.33444,103.72204,30,,,,,,,,,
5584157,1.44162,103.79304,29,,,,,,,,,
5609608,1.44349,103.79264,32,,,,,,,,,
5634851,1.31486,103.85689,85,,,,,,,,,
5704432,1.3356,103.86592,300,,,,,,,,,
5730172,1.46505,103.73082,94,,,,,,,,,
5774164,1.31315,103.881,1600,,,,,,,,,
5798211,1.34571,103.96073,70,,,,,,,,,
5819462,1.38777,103.89649,121,,,,,,,,,
5827713,1.3464,103.96256,70,,,,,,,,,
5827998,1.3446,103.96223,60,,,,,,,,,
5882204,1.3212,103.91483,165,,,,,,,,,
5889741,1.30153,103.85344,173,,,,,,,,,
5908083,1.31642,103.85759,115,,,,,,,,,
5919270,1.346,103.9626,80,,,,,,,,,
6020248,1.31132,103.79736,80,,,,,,,,,
6079533,1.35894,103.96465,50,,,,,,,,,
6147375,1.40015,103.90537,49,,,,,,,,,
6261313,1.31107,103.79687,70,,,,,,,,,
6287204,1.43012,103.78434,180,,,,,,,,,
6300577,1.32874,103.88439,98,,,,,,,,,
6305559,1.28191,103.85202,90,,,,,,,,,
6317686,1.2841,103.84253,45,,,,,,,,,
6340605,1.32515,103.84914,100,,,,,,,,,
6453321,1.36973,103.82847,45,,,,,,,,,
6481052,1.296265,103.840942,294,,,,,,,,,
6529707,1.29575,103.76707,40,,,,,,,,,
6547248,1.34507,103.76804,77,,,,,,,,,
6603464,1.44167,103.82376,140,,,,,,,,,
6607671,1.31099,103.85849,255,,,,,,,,,
6620261,1.32419,103.85252,100,,,,,,,,,
6620271,1.31697,103.89104,71,,,,,,,,,
6630341,1.34611,103.87071,90,,,,,,,,,
6638508,1.3124,103.85758,78,,,,,,,,,
6663672,1.27914,103.85002,92,,,,,,,,,
6716844,1.30205,103.85804,120,,,,,,,,,
6718219,1.34385,103.86892,100,,,,,,,,,
6718514,1.34603,103.87037,90,,,,,,,,,
6813505,1.46987,103.76475,25,,,,,,,,,
6831622,1.30613,103.78094,150,,,,,,,,,
6837947,1.38084,103.88983,2300,,,,,,,,,
6891630,1.31011,103.86325,59,,,,,,,,,
7105265,1.3149,103.88133,37,,,,,,,,,
7117201,1.32614,103.8634,200,,,,,,,,,
7141419,1.41733,103.65643,141,,,,,,,,,
7162659,1.30423,103.784,180,,,,,,,,,
7227489,1.29407,103.8284,200,,,,,,,,,
7250709,1.28843,103.80247,59,,,,,,,,,
7250803,1.33303,103.72607,62,,,,,,,,,
7296138,1.31461,103.88467,50,,,,,,,,,
7441844,1.38536,103.89662,500,,,,,,,,,
7466596,1.31519,103.85735,100,,,,,,,,,
7518356,1.46136,103.76751,95,,,,,,,,,
7641522,1.30298,103.85774,90,,,,,,,,,
7653937,1.3073,103.86344,59,,,,,,,,,
7666349,1.41142,103.8426,188,,,,,,,,,
7667016,1.30751,103.86163,59,,,,,,,,,
7720994,1.31555,103.85649,75,,,,,,,,,
7765392,1.31271,103.85702,65,,,,,,,,,
7766300,1.39863,103.90624,55,,,,,,,,,
7776711,1.28872,103.80408,37,,,,,,,,,
7875935,1.31372,103.87098,60,,,,,,,,,
7905972,1.30634,103.90207,88,,,,,,,,,
7927886,1.33433,103.727,58,,,,,,,,,
7946472,1.30743,103.86305,49,,,,,,,,,
7994039,1.30928,103.86342,50,,,,,,,,,
8004063,1.3075,103.86268,49,,,,,,,,,
8007663,1.30627,103.86415,47,,,,,,,,,
8016113,1.34002,103.73706,60,,,,,,,,,
8017511,1.32162,103.91466,200,,,,,,,,,
8038199,1.29694,103.85557,254,,,,,,,,,
8061522,1.31593,103.82905,400,,,,,,,,,
8111502,1.31713,103.91314,130,,,,,,,,,
8111607,1.31756,103.91254,130,,,,,,,,,
8113569,1.31716,103.91232,90,,,,,,,,,
8113712,1.31893,103.91257,100,,,,,,,,,
8113821,1.31716,103.91259,100,,,,,,,,,
8113893,1.31696,103.91394,100,,,,,,,,,
8113936,1.31851,103.9123,100,,,,,,,,,
8114003,1.31855,103.91259,100,,,,,,,,,
8119347,1.46088,103.76716,50,,,,,,,,,
8176609,1.28039,103.85169,85,,,,,,,,,
8180339,1.28002,103.85181,120,,,,,,,,,
8180346,1.3455,103.96045,45,,,,,,,,,
8195397,1.30389,103.849,28,,,,,,,,,
8196180,1.30356,103.84953,33,,,,,,,,,
8196359,1.30394,103.85108,33,,,,,,,,,
8196417,1.30345,103.84902,30,,,,,,,,,
8200542,1.31334,103.89381,186,,,,,,,,,
8212166,1.28146,103.85142,125,,,,,,,,,
8212422,1.3055,103.84889,130,,,,,,,,,
8234618,1.28202,103.85222,151,,,,,,,,,
8256942,1.44162,103.82343,112,,,,,,,,,
8257433,1.41739,103.65664,178,,,,,,,,,
8264717,1.34789,103.93969,160,,,,,,,,,
8277151,1.296265,103.840942,237,,,,,,,,,
8343880,1.30362,103.84967,33,,,,,,,,,
8345350,1.30479,103.85091,28,,,,,,,,,
8345921,1.30565,103.84964,36,,,,,,,,,
8355592,1.30563,103.85041,30,,,,,,,,,
8380826,1.34546,103.70155,27,,,,,,,,,
8445747,1.30803,103.8627,59,,,,,,,,,
8492009,1.31662,103.83582,120,,,,,,,,,
8508225,1.28172,103.85193,250,,,,,,,,,
8522750,1.35476,103.87241,60,,,,,,,,,
8571567,1.35329,103.93195,119,,,,,,,,,
8577081,1.32218,103.84192,90,,,,,,,,,
8625349,1.28326,103.84468,63,,,,,,,,,
8626676,1.2852,103.84512,66,,,,,,,,,
8654132,1.28283,103.84486,64,,,,,,,,,
8654673,1.28426,103.84442,66,,,,,,,,,
8705956,1.2802,103.8507,211,,,,,,,,,
8721639,1.28199,103.85358,461,,,,,,,,,
8727077,1.39021,103.85452,284,,,,,,,,,
8800763,1.3072,103.90167,89,,,,,,,,,
8890247,1.31131,103.87242,85,,,,,,,,,
8897560,1.31147,103.86072,24,,,,,,,,,
8914905,1.28313,103.84356,518,,,,,,,,,
8957363,1.34589,103.74904,80,,,,,,,,,
9016784,1.32205,103.84122,127,,,,,,,,,
9019945,1.29673,103.8574,259,,,,,,,,,
9054629,1.28535,103.85062,51,,,,,,,,,
9054941,1.28656,103.8482,103,,,,,,,,,
9055103,1.28775,103.85017,79,,,,,,,,,
9105592,1.42591,103.8495,80,,,,,,,,,
9116730,1.3117,103.86028,67,,,,,,,,,
9143024,1.31458,103.85076,47,,,,,,,,,
9204908,1.29672,103.8572,259,,,,,,,,,
9207480,1.33284,103.87767,56,,,,,,,,,
9216943,1.34842,103.74679,259,,,,,,,,,
9223088,1.46363,103.73425,74,,,,,,,,,
9268058,1.30959,103.87369,105,,,,,,,,,
9268500,1.30975,103.87248,125,,,,,,,,,
9268680,1.31106,103.87212,145,,,,,,,,,
9269260,1.31103,103.87422,165,,,,,,,,,
9269637,1.31161,103.8741,200,,,,,,,,,
9269848,1.30976,103.87371,165,,,,,,,,,
9269981,1.31017,103.87419,300,,,,,,,,,
9281075,1.34729,103.72103,50,,,,,,,,,
9282668,1.43965,103.82345,140,,,,,,,,,
9283072,1.43992,103.82355,140,,,,,,,,,
9320962,1.31036,103.93592,53,,,,,,,,,
9333897,1.417094,103.656265,68,,,,,,,,,
9351647,1.35165,103.75409,88,,,,,,,,,
9357177,1.417147,103.655968,68,,,,,,,,,
9397355,1.28393,103.84335,69,,,,,,,,,
9398808,1.28549,103.83457,300,,,,,,,,,
9416569,1.28019,103.85334,130,,,,,,,,,
9459389,1.449275,103.79026,100,,,,,,,,,
9464059,1.31689,103.8526,59,,,,,,,,,
9476931,1.37697,103.90241,64,,,,,,,,,
9480279,1.30999,103.88591,178,,,,,,,,,
9532788,1.28276,103.8433,88,,,,,,,,,
9584573,1.40529,103.90117,80,,,,,,,,,
9635192,1.2832,103.84217,58,,,,,,,,,
9637478,1.28848,103.84982,79,,,,,,,,,
9683612,1.30362,103.84929,29,,,,,,,,,
9716208,1.31166,103.85976,47,,,,,,,,,
9738917,1.31324,103.85954,93,,,,,,,,,
9739084,1.31339,103.86032,280,,,,,,,,,
9746208,1.28488,103.84215,88,,,,,,,,,
9828451,1.31656,103.83964,60,,,,,,,,,
9857050,1.31457,103.8865,220,,,,,,,,,
9866651,1.31331,103.86044,47,,,,,,,,,
9866904,1.31277,103.86168,48,,,,,,,,,
9866917,1.31318,103.861,47,,,,,,,,,
9866970,1.31239,103.85969,47,,,,,,,,,
9866985,1.28289,103.84659,164,,,,,,,,,
9869425,1.31163,103.85953,93,,,,,,,,,
9875315,1.43873,103.82344,212,,,,,,,,,
9887900,1.39156,103.87852,140,,,,,,,,,
9910891,1.28647,103.85029,53,,,,,,,,,
9928008,1.31907,103.91024,123,,,,,,,,,
9932692,1.42562,103.82559,45,,,,,,,,,
9942594,1.28686,103.80238,55,,,,,,,,,
9967697,1.2836,103.84435,63,,,,,,,,,
9981003,1.34411,103.88114,250,,,,,,,,,
9986864,1.2983,103.89036,150,,,,,,,,,
10001615,1.28819,103.84821,56,,,,,,,,,
10013630,1.28543,103.8457,465,,,,,,,,,
10020525,1.3114,103.86077,24,,,,,,,,,
10020690,1.31117,103.86066,47,,,,,,,,,
10021140,1.31155,103.86083,47,,,,,,,,,
10021610,1.31134,103.86073,24,,,,,,,,,
10023519,1.31114,103.86054,24,,,,,,,,,
10027442,1.31129,103.86064,24,,,,,,,,,
10030323,1.31114,103.86054,24,,,,,,,,,
10032227,1.29301,103.8416,100,,,,,,,,,
10040456,1.31114,103.86054,24,,,,,,,,,
10040969,1.31114,103.86054,47,,,,,,,,,
10041012,1.31114,103.86054,42,,,,,,,,,
10126030,1.35594,103.86836,130,,,,,,,,,
10210475,1.44165,103.82416,212,,,,,,,,,
10214097,1.3106,103.93315,190,,,,,,,,,
10260541,1.31395,103.88547,57,,,,,,,,,
10279528,1.41745,103.65699,119,,,,,,,,,
10289516,1.41824,103.65642,186,,,,,,,,,
10302387,1.31226,103.88615,43,,,,,,,,,
10321584,1.31363,103.90559,134,,,,,,,,,
10377488,1.28164,103.85174,130,,,,,,,,,
10427701,1.284,103.84346,69,,,,,,,,,
10464542,1.47876,103.8451,120,,,,,,,,,
10466406,1.31255,103.8603,255,,,,,,,,,
10669564,1.33051,103.7949,388,,,,,,,,,
10708117,1.32334,103.85306,50,,,,,,,,,
10813595,1.33916,103.77971,70,,,,,,,,,
10936529,1.44347,103.80081,30,,,,,,,,,
11007108,1.31222,103.91403,110,,,,,,,,,
11071722,1.31106,103.88209,110,,,,,,,,,
11126190,1.44347,103.8235,212,,,,,,,,,
11127304,1.44516,103.82145,120,,,,,,,,,
11127543,1.44412,103.82205,120,,,,,,,,,
11128602,1.36628,103.83075,200,,,,,,,,,
11220676,1.30081,103.83598,813,,,,,,,,,
11228389,1.33007,103.87554,37,,,,,,,,,
11262375,1.30424,103.84876,40,,,,,,,,,
11282735,1.2813,103.85172,100,,,,,,,,,
11325779,1.3466,103.75154,200,,,,,,,,,
11465411,1.30234,103.79982,77,,,,,,,,,
11496278,1.39857,103.74785,53,,,,,,,,,
11544732,1.28348,103.84135,7000,,,,,,,,,
11581560,1.28028,103.85184,386,,,,,,,,,
11616119,1.31021,103.91269,214,,,,,,,,,
11616187,1.31245,103.91127,214,,,,,,,,,
11617126,1.32152,103.84301,97,,,,,,,,,
11626258,1.3063,103.90294,119,,,,,,,,,
11660178,1.32332,103.91659,200,,,,,,,,,
11679272,1.32337,103.91468,180,,,,,,,,,
11679463,1.32381,103.91678,170,,,,,,,,,
11760026,1.28783,103.80346,69,,,,,,,,,
11802578,1.46275,103.76945,200,,,,,,,,,
11817134,1.28184,103.84892,112,,,,,,,,,
11863888,1.28215,103.84855,112,,,,,,,,,
11865360,1.28213,103.84852,105,,,,,,,,,
11898518,1.28169,103.85168,238,,,,,,,,,
11965790,1.4483,103.78932,85,,,,,,,,,
11971734,1.36263,103.88299,44,,,,,,,,,
11972403,1.36219,103.88276,44,,,,,,,,,
11980197,1.40088,103.91,60,,,,,,,,,
11994937,1.30909,103.85881,3770,,,,,,,,,
12028422,1.2814,103.78592,183,,,,,,,,,
12043317,1.47255,103.77518,244,,,,,,,,,
12045687,1.28205,103.85301,80,,,,,,,,,
12055849,1.34425,103.69285,800,,,,,,,,,
12162272,1.29896,103.86146,137,,,,,,,,,
12178884,1.38397,103.77035,700,,,,,,,,,
12211385,1.31027,103.85642,59,,,,,,,,,
12211392,1.31082,103.85366,26,,,,,,,,,
12213801,1.28567,103.8416,40,,,,,,,,,
12219588,1.32893,103.90497,97,,,,,,,,,
12253611,1.38246,103.89146,90,,,,,,,,,
12317780,1.37772,103.77431,250,,,,,,,,,
12345284,1.31005,103.85829,29,,,,,,,,,
12347038,1.31005,103.85829,29,,,,,,,,,
12366660,1.31005,103.85829,29,,,,,,,,,
12366958,1.31005,103.85829,29,,,,,,,,,
12367042,1.31005,103.85829,28,,,,,,,,,
12367245,1.31005,103.85829,27,,,,,,,,,
12367388,1.31005,103.85829,27,,,,,,,,,
12367758,1.31005,103.85829,59,,,,,,,,,
12367917,1.31005,103.85829,59,,,,,,,,,
12368074,1.31005,103.85829,59,,,,,,,,,
12434512,1.31248,103.79008,113,,,,,,,,,
12455215,1.3117,103.86028,67,,,,,,,,,
12484261,1.30249,103.86035,64,,,,,,,,,
12556334,1.31693,103.91408,100,,,,,,,,,
12583148,1.3138,103.88099,1300,,,,,,,,,
12702541,1.30409,103.8465,240,,,,,,,,,
12710735,1.43508,103.79711,190,,,,,,,,,
12738797,1.24854,103.82472,765,,,,,,,,,
12738896,1.36741,103.85285,79,,,,,,,,,
12801097,1.28038,103.85395,192,,,,,,,,,
12815967,1.3157,103.88303,450,,,,,,,,,
12904788,1.30902,103.86162,49,,,,,,,,,
12975736,1.31289,103.85555,59,,,,,,,,,
13049120,1.31846,103.89153,190,,,,,,,,,
13183241,1.32552,103.91456,160,,,,,,,,,
13243736,1.35725,103.828,209,,,,,,,,,
13254555,1.2877,103.82903,132,,,,,,,,,
13274269,1.28499,103.843,31,,,,,,,,,
13274598,1.28379,103.84399,31,,,,,,,,,
13283938,1.31398,103.87973,388,,,,,,,,,
13286282,1.34373,103.72095,56,,,,,,,,,
13317120,1.28073,103.78544,113,,,,,,,,,
13335962,1.30429,103.85937,80,,,,,,,,,
13336054,1.30442,103.8593,90,,,,,,,,,
13336111,1.30242,103.86078,100,,,,,,,,,
13336133,1.30427,103.85904,140,,,,,,,,,
13349133,1.4627,103.76977,62,,,,,,,,,
13361848,1.31338,103.85843,69,,,,,,,,,
13396802,1.28049,103.78534,223,,,,,,,,,
13454638,1.29265,103.81667,200,,,,,,,,,
13468399,1.42998,103.78534,400,,,,,,,,,
13540021,1.33906,103.70071,100,,,,,,,,,
13566223,1.36864,103.8967,80,,,,,,,,,
13642646,1.30296,103.78559,57,,,,,,,,,
13659860,1.27872,103.84696,180,,,,,,,,,
13703898,1.37173,103.94855,68,,,,,,,,,
13717530,1.34401,103.70107,168,,,,,,,,,
13756029,1.40472,103.6637,40,,,,,,,,,
13809823,1.2943,103.8296,141,,,,,,,,,
13834039,1.31244,103.79747,68,,,,,,,,,
13875517,1.34048,103.9519,100,,,,,,,,,
13890512,1.31261,103.85796,69,,,,,,,,,
13952292,1.32833,103.91588,140,,,,,,,,,
13965663,1.31124,103.87213,85,,,,,,,,,
13966783,1.28338,103.84133,59,,,,,,,,,
13967760,1.32522,103.91497,180,,,,,,,,,
14020127,1.31756,103.91084,156,,,,,,,,,
14094341,1.31889,103.82806,180,,,,,,,,,
14099732,1.32683,103.95444,60,,,,,,,,,
14131949,1.36464,103.86352,148,,,,,,,,,
14157765,1.38534,103.73865,20,,,,,,,,,
14158971,1.32547,103.91505,130,,,,,,,,,
14191894,1.31735,103.84806,102,,,,,,,,,
14196212,1.275,103.84334,385,,,,,,,,,
14211027,1.29488,103.8305,1000,,,,,,,,,
14213091,1.27526,103.84462,680,,,,,,,,,
14226426,1.28341,103.85075,423,,,,,,,,,
14226658,1.28146,103.85122,470,,,,,,,,,
14245740,1.39178,103.91181,150,,,,,,,,,
14289091,1.3762,103.96172,7286,,,,,,,,,
14332483,1.31586,103.86049,24,,,,,,,,,
14341511,1.35593,103.88742,500,,,,,,,,,
14361953,1.41685,103.65709,188,,,,,,,,,
14407337,1.28382,103.84339,40,,,,,,,,,
14435012,1.31284,103.79736,62,,,,,,,,,
14489603,1.31626,103.86002,30,,,,,,,,,
14530157,1.3147,103.89289,89,,,,,,,,,
14558461,1.32405,103.91679,170,,,,,,,,,
14577360,1.2841,103.84253,69,,,,,,,,,
14582945,1.34757,103.74873,88,,,,,,,,,
14583967,1.31001,103.86278,59,,,,,,,,,
14602011,1.324,103.84069,60,,,,,,,,,
14682977,1.31361,103.88422,27,,,,,,,,,
14701395,1.32157,103.84297,154,,,,,,,,,
14901562,1.30805,103.86338,49,,,,,,,,,
14926743,1.3446,103.73346,71,,,,,,,,,
14938335,1.32728,103.8507,69,,,,,,,,,
14940462,1.32826,103.85111,89,,,,,,,,,
14953906,1.28359,103.84242,57,,,,,,,,,
14954546,1.31573,103.88485,145,,,,,,,,,
15001844,1.35141,103.86968,65,,,,,,,,,
15100514,1.31297,103.85998,255,,,,,,,,,
15133816,1.28134,103.78707,183,,,,,,,,,
15229173,1.31163,103.93572,141,,,,,,,,,
15238692,1.34313,103.68921,40,,,,,,,,,
15260342,1.34054,103.71994,130,,,,,,,,,
15274648,1.30494,103.90306,299,,,,,,,,,
15310627,1.27703,103.8437,140,,,,,,,,,
15364942,1.31675,103.91272,71,,,,,,,,,
15365213,1.32531,103.91656,130,,,,,,,,,
15367409,1.31552,103.88215,39,,,,,,,,,
15379742,1.31723,103.83244,150,,,,,,,,,
15406706,1.31053,103.86075,47,,,,,,,,,
